iter	Logloss
0	0.6132670853
1	0.5532894964
2	0.5074934234
3	0.4696450228
4	0.4470864232
5	0.4320809433
6	0.4119980589
7	0.3965685987
8	0.3885847713
9	0.3801273288
10	0.3747607958
11	0.3691658151
12	0.3644979962
13	0.3608680287
14	0.3560191562
15	0.3515617394
16	0.3493552552
17	0.3462788872
18	0.3438621514
19	0.3421531061
20	0.3397241365
21	0.3382799807
22	0.3364809423
23	0.3352709877
24	0.3341790171
25	0.3335126807
26	0.3324834302
27	0.3311878649
28	0.3300243067
29	0.3293429314
30	0.3286414678
31	0.3282920203
32	0.3275137352
33	0.326155446
34	0.3253737427
35	0.3242745255
36	0.3234596509
37	0.3230058346
38	0.3222822877
39	0.3217993836
40	0.3215642323
41	0.3212533
42	0.3207012275
43	0.3200707348
44	0.3193349326
45	0.3189950091
46	0.3181258854
47	0.3178768742
48	0.3175271895
49	0.3166405333
50	0.3160345957
51	0.3152647224
52	0.3146627524
53	0.3140971024
54	0.3137544463
55	0.3134653746
56	0.3131193435
57	0.3124917238
58	0.3120816317
59	0.3117881281
60	0.3114045337
61	0.3109322478
62	0.3103678829
63	0.3095725718
64	0.3091993096
65	0.3085902304
66	0.3078503151
67	0.3075350915
68	0.3070934256
69	0.306564362
70	0.3064945284
71	0.3059129759
72	0.3056785026
73	0.3052030656
74	0.3045443754
75	0.3043769695
76	0.3039577136
77	0.3034236331
78	0.3030072324
79	0.3027711595
80	0.3025242592
81	0.3017878573
82	0.3014581531
83	0.301315447
84	0.3009977656
85	0.3002493092
86	0.2999917747
87	0.2995615046
88	0.2995094756
89	0.2988821993
90	0.2984075904
91	0.2981744371
92	0.2977536405
93	0.2977266621
94	0.2970521637
95	0.296483941
96	0.2960758951
97	0.2959263912
98	0.2956706496
99	0.2951314886
100	0.2946301202
101	0.2940810791
102	0.2935535168
103	0.2930473023
104	0.2925918972
105	0.2921484564
106	0.291648083
107	0.2910260057
108	0.2908623951
109	0.2904125867
110	0.2900634446
111	0.2894496489
112	0.289112013
113	0.2886032784
114	0.2882908978
115	0.287981367
116	0.2874464366
117	0.287164891
118	0.2866973811
119	0.2860943918
120	0.2857768724
121	0.2855369911
122	0.2849973343
123	0.2845224269
124	0.2842003692
125	0.283686219
126	0.2832490769
127	0.2830646721
128	0.2827662363
129	0.2823131405
130	0.2817776321
131	0.2815118606
132	0.2812990058
133	0.2808282703
134	0.2803832739
135	0.2799988341
136	0.2797022546
137	0.2795762145
138	0.2791275109
139	0.2785497948
140	0.2782238688
141	0.2778115003
142	0.2773471185
143	0.2770536118
144	0.2768345469
145	0.2765841139
146	0.2763060234
147	0.2758235034
148	0.2756106501
149	0.2752783569
150	0.2750676526
151	0.2747294542
152	0.274440002
153	0.2739366307
154	0.2737456693
155	0.2731352292
156	0.2728362492
157	0.2724133616
158	0.2721776221
159	0.2716754863
160	0.2710468753
161	0.2706801257
162	0.2704738866
163	0.2700784527
164	0.2694867407
165	0.2692227679
166	0.2690919547
167	0.2689904822
168	0.2688540165
169	0.2685405408
170	0.2681512436
171	0.2679525741
172	0.2676660331
173	0.2671323311
174	0.2666302953
175	0.2660887565
176	0.2654764294
177	0.2648833318
178	0.2644760911
179	0.264030933
180	0.2636487098
181	0.2634192162
182	0.2631678169
183	0.2625407081
184	0.2620351922
185	0.2616950063
186	0.2613313642
187	0.2609871698
188	0.2607820401
189	0.260651362
190	0.2603812572
191	0.2600763415
192	0.2598014376
193	0.2595375454
194	0.2591573502
195	0.2588528157
196	0.2586384793
197	0.2583164294
198	0.2581880653
199	0.2579008526
200	0.2575079531
201	0.2571930629
202	0.2568527382
203	0.2564382077
204	0.2560875835
205	0.2558144326
206	0.2553817924
207	0.2551567218
208	0.2547702573
209	0.2544092937
210	0.2538094225
211	0.253509307
212	0.2530897013
213	0.252728044
214	0.2525524704
215	0.2521331213
216	0.2519063802
217	0.2515740003
218	0.2512789089
219	0.2509120477
220	0.2505453781
