iter	Logloss
221	0.2504373753
222	0.2501257133
223	0.2499474275
224	0.2496908587
225	0.249416929
226	0.2490476206
227	0.2487468627
228	0.2485984028
229	0.2483687896
230	0.2482999038
231	0.2481094072
232	0.2479257464
233	0.2476342153
234	0.2472812928
235	0.2468485426
236	0.2463658335
237	0.2459609115
238	0.2456832138
239	0.2452960103
240	0.2449531978
241	0.2446861088
242	0.2444581611
243	0.2440278873
244	0.2437055401
245	0.2435265187
246	0.2433671689
247	0.2433267048
248	0.2430629137
249	0.242763106
250	0.2424415478
251	0.2424171312
252	0.2420927908
253	0.2418665436
254	0.2416073452
255	0.2413699212
256	0.2411308974
257	0.2407259651
258	0.240546332
259	0.2402955914
260	0.2401338092
261	0.2396275672
262	0.2391232506
263	0.2387500664
264	0.2386636548
265	0.238412776
266	0.2379811217
267	0.2376422527
268	0.2371115205
269	0.236828626
270	0.2367349946
271	0.236364229
272	0.2360005703
273	0.2357009329
274	0.2355307962
275	0.2353302995
276	0.2350080975
277	0.2347068926
278	0.2345243697
279	0.2341729715
280	0.2340010583
281	0.2337255799
282	0.2332423246
283	0.2331947151
284	0.2329330643
285	0.2325418955
286	0.232392107
287	0.2320909232
288	0.2314986018
289	0.2311857168
290	0.2311264325
291	0.2308611506
292	0.2305459165
293	0.2301042297
294	0.2296463452
295	0.2292543715
296	0.2291337238
297	0.2289133094
298	0.2286709093
299	0.2283867847
300	0.2281093572
301	0.227890887
302	0.2278061448
303	0.2275099723
304	0.2272429107
305	0.2269757275
306	0.2266132068
307	0.2261697278
308	0.2256952185
309	0.225484231
310	0.2254640212
311	0.2249194239
312	0.2246133555
313	0.22438295
314	0.2240762521
315	0.2237948972
316	0.2235352341
317	0.2231104264
318	0.2229559831
319	0.2227319241
320	0.2225348965
321	0.2222301261
322	0.2220861169
323	0.2218578543
324	0.2215601364
325	0.221293555
326	0.2210955341
327	0.2207289495
328	0.2205378637
329	0.2200836152
330	0.2198413766
331	0.2197507792
332	0.2194641992
333	0.2192893184
334	0.2190005513
335	0.2187874035
336	0.2186458403
337	0.2185069588
338	0.218278226
339	0.2179665951
340	0.2176663681
341	0.2173438653
342	0.2172608829
343	0.217233636
344	0.2170536557
345	0.2168317436
346	0.2166527338
347	0.2164460429
348	0.2161899403
349	0.2159959283
350	0.2159792416
351	0.2155926433
352	0.215168668
353	0.2149769756
354	0.2149289627
355	0.2145742407
356	0.2143084953
357	0.2140752733
358	0.2139046269
359	0.2137757273
360	0.213585176
361	0.2134258671
362	0.2134143781
363	0.2133440404
364	0.2129432789
365	0.21274524
366	0.212489434
367	0.2123378579
368	0.2120234779
369	0.2117902641
370	0.21143983
371	0.2111205802
372	0.2109939838
373	0.2107707317
374	0.2106520746
375	0.2104324363
376	0.2104052134
377	0.2100949564
378	0.2097677997
379	0.209623851
380	0.2093362031
381	0.2091194545
382	0.2090915388
383	0.2090664527
384	0.2088470784
385	0.2086773318
386	0.2084931888
387	0.2083620755
388	0.2080753579
389	0.2078945261
390	0.2076073931
391	0.2073124271
392	0.2068633544
393	0.2067002386
394	0.2065260668
395	0.2061648948
396	0.205952686
397	0.2058014866
398	0.2054525073
399	0.2051177242
400	0.2050958602
401	0.2047722621
402	0.2045787856
403	0.204296014
404	0.2041048816
405	0.2036657723
406	0.2034091834
407	0.2030626641
408	0.2027034021
409	0.2024595283
410	0.2024204832
411	0.2021571644
412	0.2019865435
413	0.2017772018
414	0.2016450221
415	0.20149378
416	0.2011655384
417	0.2006793763
418	0.20046696
419	0.200418387
420	0.2001833734
421	0.199965083
422	0.1997245575
423	0.1996925936
424	0.199538028
425	0.1993524174
426	0.1991893695
427	0.1990304029
428	0.198798188
429	0.1987070965
430	0.1986875982
431	0.198384195
432	0.1980351329
433	0.1977902844
434	0.1977774654
435	0.1975622879
436	0.1972470809
437	0.1969898416
438	0.1967810868
439	0.1966738512
440	0.1965003592
441	0.1960283759
442	0.195901939
443	0.1955336238
444	0.1952287547
445	0.1949840127
446	0.1947422846
447	0.1945401605
448	0.1943650302
449	0.1941771918
450	0.1940756622
451	0.1939065814
452	0.1936202115
453	0.1934923858
454	0.1933431077
455	0.1930602267
456	0.1928750361
457	0.192747821
458	0.1925544994
459	0.1923783722
460	0.1921473121
461	0.1918222698
462	0.1916136538
463	0.1914290615
464	0.1913375188
465	0.1909742019
466	0.1908709786
467	0.1906745478
468	0.1903629991
469	0.1901343249
470	0.1900458837
471	0.1898259933
472	0.1894114697
473	0.1891459359
474	0.1888867559
475	0.1886648683
476	0.1885507047
477	0.1884338874
478	0.1882468712
479	0.1880682118
480	0.1879589322
481	0.1877225313
482	0.1876217161
483	0.1872559709
484	0.1871011476
485	0.1869263435
486	0.1868740954
487	0.1867509095
488	0.1864972536
489	0.1862480101
490	0.1860349869
491	0.185891731
492	0.1856776131
493	0.185549453
494	0.1854686958
495	0.1853999513
496	0.1851576606
497	0.1850024618
498	0.1847171511
499	0.184480058
